---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE05

Time Stamp (Second(s)), Brake Temp FL (C)
0.0096,145.593
0.0196,146.497
0.0296,144.031
0.0396,146.216
0.0494,147.632
0.0673,147.424
0.0695,143.42
0.0795,145.898
0.0895,146.863
0.0995,145.679
0.1095,146.155
0.1195,143.665
0.1306,145.288
0.1395,144.153
0.1495,142.676
0.1596,145.715
0.1696,144.067
0.1794,147.205
0.1896,145.056
0.1996,145.337
0.2096,143.884
0.2196,145.068
0.2295,143.872
0.2395,144.287
0.2494,142.725
0.2604,144.336
0.2695,146.118
0.2795,146.387
0.2895,146.729
0.2995,147.351
0.3104,144.653
0.3195,142.639
0.3295,144.348
0.3396,142.224
0.3496,144.568
0.3594,143.213
0.3696,144.482
0.3796,147.266
0.3895,144.263
0.3996,146.265
0.4095,143.225
0.4195,144.629
0.4295,144.141
0.4482,144.788
0.4495,145.728
0.4595,143.103
0.4695,142.346
0.4795,145.825
0.4904,143.249
0.4995,145.41
0.5095,144.385
0.5196,143.604
0.5296,143.945
0.5403,146.729
0.5495,142.712
0.5595,142.773
0.5695,143.616
0.5795,143.091
0.5902,145.898
0.5995,144.104
0.6095,146.924
0.6195,144.238
0.6295,148.645
0.6404,145.105
0.6495,142.371
0.6595,146.179
0.6695,142.456
0.6874,142.334
0.6894,143.994
0.6996,143.811
0.7096,143.53
0.7196,142.859
0.7296,143.762
0.7396,142.737
0.7496,145.19
0.7596,147.461
0.7704,144.299
0.7796,146.118
0.7895,146.997
0.7994,144.189
0.8095,145.789
0.8203,144.141
0.8295,144.629
0.8395,146.436
0.8495,143.896
0.8595,143.896
0.8703,143.03
0.8795,145.496
0.8896,146.045
0.8996,143.506
0.9094,143.359
0.9194,144.36
0.9296,145.166
0.9473,145.996
0.9496,143.652
0.9596,144.421
0.9695,143.762
0.9795,142.334
0.9895,144.812
1.008,146.643
1.0095,142.908
1.0273,146.118
1.0295,145.666
1.0395,142.114
1.0503,146.741
1.0595,145.996
1.0695,142.456
1.0796,144.995
1.0894,142.615
1.1004,144.214
1.1094,146.96
1.1273,145.068
1.1296,146.362
1.1396,145.508
1.1507,144.751
1.1595,143.018
1.1695,144.275
1.1795,142.48
1.1895,144.58
1.2082,146.472
1.2095,145.312
1.2274,144.141
1.2295,146.716
1.2394,143.579
1.2504,142.895
1.2674,146.497
1.2696,146.204
1.2874,143.677
1.2896,145.886
1.3005,146.851
1.3096,142.944
1.3273,144.263
1.3295,145.166
1.3473,145.752
1.3504,146.729
1.3672,142.871
1.3694,144.263
1.3794,145.508
