---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE01

Time Stamp (Second(s)), Engine Speed (RPM), Throttle (%), Intake Temp (C), Coolant Temp (C), Vehicle Speed (KPH), Lambda #2, Battery Voltage (V)
0,1950.39,17.5779,6,23,0,0,13.8893
0.0096,1985.93,17.5779,7,23,0,0,13.8893
0.0196,1996.09,17.5779,6,24,0,0,13.7008
0.0296,1866.4,17.5779,6,24,0,0,13.1352
0.0396,1827.34,17.9685,6,23,0,0,13.1352
0.0494,1813.67,17.9685,5,24,0,0,13.3866
0.0673,1903.51,17.5779,6,23,0,0,13.3237
0.0695,1876.17,17.5779,7,23,0,0,13.3237
0.0795,1815.62,17.5779,6,24,0,0,13.2609
0.0895,1826.17,17.9685,5,23,0,0,13.8893
0.0995,1783.59,17.5779,7,23,0,0,14.015
0.1095,1780.86,26.1715,7,24,0,0,13.7008
0.1195,2007.42,34.3746,7,24,0,0,13.7008
0.1306,3724.21,32.0308,5,23,0,0,13.3866
0.1395,4926.55,17.9685,6,23,0,0,13.5751
0.1496,4504.68,17.9685,6,24,0,0,13.7008
0.1596,3906.24,23.8278,5,24,0,0,13.3866
0.1696,3860.15,38.6714,6,24,0,0,13.5123
0.1896,5021.86,19.1404,7,23,0,0,13.5751
0.1996,4398.82,18.3591,6,23,0,0,13.638
0.2096,3871.08,17.5779,6,23,0,0,13.8893
0.2196,3508.2,17.5779,5,24,0,0,13.7008
0.2295,3003.12,17.5779,6,23,0,0,14.015
0.2395,2447.65,17.5779,6,23,0,0,13.8893
0.2494,2101.56,17.9685,5,24,0,0,13.1352
0.2604,1712.11,17.5779,6,23,0,0,13.638
0.2695,1460.93,17.5779,6,23,0,0,13.7008
0.2795,1339.45,17.9685,6,23,0,0,13.4494
0.2895,1398.82,17.5779,7,24,0,0,13.198
0.2995,1822.26,17.5779,6,23,0,0,13.9522
0.3104,2069.53,17.9685,7,24,0,0,13.5123
0.3195,2142.96,17.5779,6,24,0,0,13.9522
0.3296,2202.34,17.5779,7,23,0,0,13.1352
0.3396,2335.93,17.5779,5,24,0,0,13.8893
0.3496,2508.59,17.5779,6,24,0,0,13.638
0.3696,2626.95,17.5779,6,24,0,0,13.4494
0.3796,2721.87,17.5779,7,23,0,0,13.7008
0.3896,2607.81,17.9685,6,24,0,0,13.7008
0.3996,2603.9,17.5779,6,23,0,0,13.8265
0.4096,2491.79,17.5779,7,24,0,0,13.5123
0.4195,2508.98,17.9685,7,23,0,0,14.1407
0.4295,2526.17,17.5779,6,24,0,0,13.5751
0.4482,2417.57,17.5779,5,24,0,0,13.8893
0.4495,2409.76,17.9685,7,24,0,0,13.8893
0.4595,2391.01,17.5779,6,24,0,0,13.9522
0.4695,2410.15,17.5779,6,24,0,0,13.7636
