---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE07

Time Stamp (Second(s)), Accel X (G), Accel Y (G), Accel Z (G)
0.0087,-0.123,0.025,-0.181
0.0089,0.097,-0.046,0.146
0.009,0.097,-0.046,0.146
0.0091,0.097,-0.046,0.146
0.0095,0.097,-0.046,0.146
0.0114,-0.099,0.055,-0.174
0.0135,-0.032,-0.013,-0.097
0.0155,-0.008,0.021,-0.012
0.0174,-0.078,0.02,-0.099
0.0195,-0.106,0.015,-0.09
0.0276,0.074,-0.052,0.143
0.0278,0.074,-0.052,0.143
0.0287,0.028,-0.011,0.104
0.0289,0.028,-0.011,0.104
0.0295,-0.03,0.047,-0.135
0.0314,-0.078,0.006,-0.085
0.0335,-0.102,0.015,-0.107
0.0355,0.049,-0.002,0.08
0.0375,0.033,-0.024,0.1
0.0395,-0.056,-0.002,-0.152
0.0476,-0.018,0.033,-0.007
0.0478,-0.018,0.033,-0.007
0.048,-0.018,0.033,-0.007
0.0481,-0.01,-0.007,-0.014
0.0514,-0.019,0.007,-0.056
0.0534,0.009,-0.004,0.041
0.0554,0.034,-0.003,0.014
0.0574,-0.188,0.099,-0.186
0.0673,0.017,-0.019,0.038
0.0674,0.017,-0.019,0.038
0.0675,0.017,-0.019,0.038
0.0676,0.017,-0.019,0.038
0.0678,0.017,-0.019,0.038
0.0694,0.038,-0.032,0.091
0.0714,-0.081,0.028,-0.167
0.0734,-0.023,-0.002,0.007
0.0754,-0.06,0.026,-0.111
0.0774,0.034,-0.012,0.065
0.0794,0.004,-0.017,0.059
0.0874,0.028,-0.004,0.064
0.0875,0.028,-0.004,0.064
0.0876,0.028,-0.004,0.064
0.0878,0.028,-0.004,0.064
0.0894,0.036,-0.018,0.082
0.0914,-0.096,0.034,-0.138
0.0934,-0.093,0.042,-0.175
0.0954,0.006,-0.01,0.079
0.0974,-0.023,-0.008,0.014
0.0994,0.036,-0.015,0.047
0.1084,-0.082,0.035,-0.126
0.1085,-0.082,0.035,-0.126
0.1086,-0.082,0.035,-0.126
0.1094,0.044,-0.009,0.08
0.1115,0.075,-0.021,0.076
0.1134,-0.167,0.08,-0.176
0.1154,0.096,-0.051,0.219
0.1174,0.062,-0.039,0.182
0.1194,-0.185,0.046,-0.228
0.1275,-0.04,0.031,-0.079
0.1276,-0.04,0.031,-0.079
0.1277,-0.04,0.031,-0.079
0.1278,-0.04,0.031,-0.079
0.1295,-0.003,0.042,-0.025
0.1315,-0.02,0.041,-0.071
0.1335,-0.01,0.007,-0.011
0.1355,0.011,-0.003,-0.008
0.1375,-0.053,-0.016,-0.035
0.1395,-0.06,-0.029,-0.044
0.1475,-0.057,0.027,-0.015
0.1477,-0.003,0.019,-0.037
0.1478,-0.003,0.019,-0.037
0.1479,-0.003,0.019,-0.037
0.1495,-0.034,-0.002,-0.042
0.1516,-0.021,-0.006,-0.014
0.1535,0,0.017,-0.031
0.1556,-0.012,-0.005,-0.058
0.1574,-0.049,0.028,-0.022
0.1595,-0.014,0.025,-0.018
0.1674,-0.023,0.009,-0.109
0.1675,-0.023,0.009,-0.109
0.1677,0.007,0.024,-0.042
0.1678,0.007,0.024,-0.042
0.1695,-0.036,0.009,-0.05
0.1715,-0.026,0.034,-0.11
0.1735,-0.04,-0.014,0.009
0.1755,-0.017,0,-0.084
0.1774,-0.01,-0.008,-0.023
0.1881,-0.043,0.004,-0.043
0.1882,-0.043,0.004,-0.043
0.1884,-0.043,0.004,-0.043
0.1886,-0.043,0.004,-0.043
0.1895,-0.035,0.009,-0.073
0.1915,-0.056,-0.004,0.009
0.1935,-0.045,0.012,-0.004
0.1955,-0.013,-0.038,-0.032
0.1974,-0.003,-0.004,-0.047
0.1995,-0.07,0.04,-0.04
0.2076,-0.011,0.03,-0.035
0.2078,-0.011,0.03,-0.035
0.2079,-0.053,0.035,-0.045
0.208,-0.053,0.035,-0.045
0.2095,-0.008,-0.014,-0.01
0.2115,-0.003,0.03,-0.035
0.2135,-0.045,0.028,-0.104
0.2155,-0.031,0.004,-0.077
0.2174,-0.015,-0.038,-0.005
0.2195,-0.041,-0.023,0.077
0.2275,0.013,-0.035,-0.062
0.2276,0.013,-0.035,-0.062
0.2278,0.013,-0.035,-0.062
0.228,0.013,-0.035,-0.062
0.2295,0.035,-0.013,0.041
0.2335,-0.035,0.029,-0.164
0.2355,0.076,-0.045,-0.074
0.2374,0.154,-0.084,0.209
0.2394,0.195,-0.113,0.192
0.2474,-0.023,0.003,-0.144
0.2476,-0.023,0.003,-0.144
0.2477,-0.023,0.003,-0.144
0.2478,-0.023,0.003,-0.144
0.2495,-0.147,0.083,-0.133
0.2514,-0.16,0.062,-0.191
0.2534,0.063,-0.026,0.165
0.2554,0.014,-0.04,0.121
0.2574,0.005,-0.01,0.004
0.2594,-0.067,0.014,-0.123
0.2684,0.02,0.024,-0.062
0.2685,0.02,0.024,-0.062
0.2686,0.02,0.024,-0.062
0.2687,0.02,0.024,-0.062
0.2694,-0.022,-0.027,0.035
0.2714,-0.023,-0.031,0.082
0.2734,-0.054,-0.015,0.041
0.2754,0.006,0.01,-0.092
0.2774,0.023,0.009,-0.062
0.2794,-0.034,0.018,-0.036
0.2875,-0.018,-0.034,0.146
0.2884,-0.02,0.028,-0.134
0.2885,-0.02,0.028,-0.134
0.2886,-0.02,0.028,-0.134
0.2894,-0.018,0.007,-0.047
0.2914,0.017,-0.026,0.069
0.2934,0.009,0.026,-0.048
0.2954,0.066,-0.02,0.104
0.2974,0.004,0.006,0.136
0.2994,-0.055,0.027,-0.044
0.3075,0.035,-0.04,-0.045
0.3076,0.035,-0.04,-0.045
0.3077,0.035,-0.04,-0.045
0.3078,0.035,-0.04,-0.045
0.3095,-0.164,0.066,-0.175
0.3115,-0.214,0.071,-0.221
0.3135,0.1,-0.041,0.191
0.3155,0.088,-0.071,0.013
0.3175,-0.2,0.072,-0.144
0.3195,-0.22,0.108,-0.231
0.3276,0.024,-0.048,-0.044
0.3277,-0.128,0.046,-0.093
0.3278,-0.128,0.046,-0.093
0.3279,-0.128,0.046,-0.093
0.3295,0.12,-0.09,0.097
0.3315,-0.203,0.092,-0.239
0.3335,0,-0.018,-0.113
0.3355,-0.189,0.099,-0.163
0.3376,-0.079,0.033,-0.026
0.3395,-0.225,0.082,-0.152
0.3476,-0.05,0.074,-0.169
0.3477,0.155,-0.094,0.062
0.3479,0.155,-0.094,0.062
0.348,0.155,-0.094,0.062
0.3495,-0.145,0.069,-0.136
0.3515,-0.07,0.027,-0.074
0.3535,0.191,-0.077,0.154
0.3555,0.192,-0.078,0.083
0.3575,-0.106,-0.003,-0.038
0.3683,0.098,-0.043,-0.008
0.3684,0.098,-0.043,-0.008
0.3685,0.098,-0.043,-0.008
0.3687,0.098,-0.043,-0.008
0.3695,0.018,-0.062,0.115
0.3715,-0.168,0.062,-0.218
0.3735,-0.108,0.052,-0.182
0.3755,0.051,-0.01,0.129
0.3775,-0.087,0.012,0.04
0.3795,-0.179,0.039,-0.142
0.3876,-0.158,0.029,-0.074
0.3878,-0.158,0.029,-0.074
0.388,0.141,-0.068,0.162
0.3881,0.141,-0.068,0.162
0.3895,-0.037,0.006,-0.133
0.3915,-0.05,0.044,-0.193
0.3934,-0.009,0.019,-0.078
0.3955,0.15,-0.109,0.193
0.3975,0.116,-0.067,0.117
0.3995,-0.221,0.072,-0.162
0.4076,0.03,-0.009,-0.044
0.4078,0.03,-0.009,-0.044
0.408,0.03,-0.009,-0.044
0.4081,-0.236,0.07,-0.158
0.4095,0.157,-0.094,0.166
0.4134,-0.132,0.001,-0.028
0.4155,-0.135,0.018,-0.013
0.4175,-0.179,0.056,-0.215
0.4194,-0.194,0.088,-0.194
0.4274,0.05,-0.043,0.093
0.4277,0.05,-0.043,0.093
0.4279,0.05,-0.043,0.093
0.4281,0.05,-0.043,0.093
0.4294,0.118,-0.096,0.188
0.4314,-0.212,0.058,-0.115
0.4334,-0.219,0.078,-0.15
0.4354,-0.127,0.017,-0.024
0.4374,-0.17,0.055,-0.156
0.4473,0.137,-0.113,0.15
0.4484,-0.071,0.055,-0.159
0.4485,-0.071,0.055,-0.159
0.4486,-0.071,0.055,-0.159
0.4487,-0.071,0.055,-0.159
0.4494,0.147,-0.057,0.063
0.4514,0.046,-0.079,0.084
0.4534,0.097,-0.076,0.086
0.4554,-0.098,-0.003,-0.045
0.4574,0.141,-0.112,0.189
0.4594,0.105,-0.047,-0.035
0.4674,0.194,-0.129,0.193
0.4684,-0.212,0.111,-0.261
0.4685,-0.212,0.111,-0.261
0.4686,-0.212,0.111,-0.261
0.4694,0.021,-0.061,0.14
0.4714,0.002,-0.076,0.01
0.4734,0.054,-0.055,0.131
0.4755,-0.226,0.06,-0.154
0.4774,0.021,-0.073,0.099
0.4794,-0.189,0.059,-0.074
0.4875,-0.064,-0.037,-0.041
0.4876,-0.064,-0.037,-0.041
0.4877,-0.064,-0.037,-0.041
0.4878,-0.064,-0.037,-0.041
0.4894,-0.122,0.045,-0.154
0.4915,-0.229,0.079,-0.231
0.4935,0.088,-0.037,-0.027
0.4955,0.127,-0.065,0.08
0.4975,0.073,-0.077,0.155
0.4995,-0.241,0.079,-0.088
0.5075,0.043,-0.056,0.124
0.5076,0.117,-0.02,-0.012
0.5078,0.117,-0.02,-0.012
0.5079,0.117,-0.02,-0.012
0.5094,0.1,-0.078,0.118
0.5115,-0.231,0.069,-0.118
0.5135,-0.165,0.034,-0.04
0.5155,-0.116,0.024,-0.128
0.5175,-0.182,0.09,-0.238
0.5195,0.147,-0.05,0.035
0.5276,0.151,-0.105,0.118
0.5277,-0.11,0.063,-0.143
0.5278,-0.11,0.063,-0.143
0.5279,-0.11,0.063,-0.143
0.5295,-0.129,0,-0.041
0.5315,-0.013,-0.045,0.05
0.5335,-0.236,0.064,-0.129
0.5355,-0.177,0.015,-0.071
0.5375,-0.072,-0.022,0.014
0.5394,-0.223,0.084,-0.195
0.5483,0.169,-0.075,0.072
0.5485,0.169,-0.075,0.072
0.5487,0.169,-0.075,0.072
0.5489,-0.229,0.077,-0.205
0.5494,-0.229,0.077,-0.205
0.5515,-0.188,0.054,-0.079
0.5535,-0.081,0.059,-0.1
0.5555,-0.139,0.032,-0.155
0.5575,0.163,-0.052,0.09
0.5594,0.164,-0.075,0.088
0.5675,-0.142,0.038,-0.15
0.5687,-0.129,0.006,-0.05
0.5689,-0.129,0.006,-0.05
0.569,0.037,-0.049,0.031
0.5694,0.037,-0.049,0.031
0.5715,-0.024,-0.005,-0.033
0.5735,-0.059,0.049,-0.07
0.5755,-0.025,-0.002,-0.07
0.5775,-0.017,-0.007,-0.029
0.5794,-0.042,-0.014,-0.027
0.5875,-0.039,-0.01,-0.075
0.5877,-0.039,-0.01,-0.075
0.5879,-0.039,-0.01,-0.075
0.588,-0.049,0.005,0.033
0.5894,-0.008,-0.015,-0.064
0.5915,0.008,0.01,-0.053
0.5935,-0.021,0.013,-0.04
0.5954,-0.015,-0.029,-0.021
0.5974,-0.023,-0.022,-0.029
0.5994,-0.027,-0.013,-0.023
0.6075,-0.033,0.009,-0.013
0.6077,-0.033,0.009,-0.013
0.6079,-0.033,0.009,-0.013
0.608,-0.033,0.009,-0.013
0.6094,-0.003,-0.002,-0.022
0.6114,-0.005,-0.026,-0.025
0.6134,-0.012,-0.009,-0.023
0.6154,-0.029,0,-0.064
0.6174,0.02,-0.009,-0.009
0.6194,0.008,0.004,-0.004
0.6274,-0.053,0.018,-0.08
0.6275,-0.053,0.018,-0.08
0.6277,-0.053,0.018,-0.08
0.6279,-0.053,0.018,-0.08
0.6294,-0.077,-0.004,-0.009
0.6314,-0.035,0.023,-0.057
0.6334,0.003,-0.024,-0.059
0.6354,-0.061,-0.014,-0.032
0.6374,-0.005,0.027,-0.058
0.6394,-0.041,0.025,-0.043
0.6484,-0.012,0.012,-0.049
0.6485,-0.012,0.012,-0.049
0.6486,-0.012,0.012,-0.049
0.6487,-0.012,0.012,-0.049
0.6494,-0.02,-0.004,-0.07
0.6514,-0.012,0.037,-0.06
0.6534,-0.079,0.018,-0.053
0.6554,-0.053,-0.05,0.008
0.6574,-0.019,-0.047,-0.014
0.6594,-0.027,0.076,-0.075
0.6675,-0.111,0.007,-0.118
0.6685,-0.104,-0.003,0.027
0.6686,-0.104,-0.003,0.027
0.6687,-0.104,-0.003,0.027
0.6695,0.129,-0.079,0.132
0.6714,0.102,-0.06,0.176
0.6734,-0.26,0.076,-0.203
0.6755,-0.196,0.047,-0.109
0.6775,0.01,-0.057,0.072
0.6874,-0.115,0.078,-0.104
0.6875,0.074,-0.076,0.09
0.6877,0.074,-0.076,0.09
0.6878,0.074,-0.076,0.09
0.6879,0.074,-0.076,0.09
0.6915,0.04,-0.04,0.126
0.6935,-0.086,0.047,-0.179
0.6954,-0.065,0.015,-0.14
0.6975,-0.027,-0.005,-0.01
0.6995,0.013,-0.004,0.05
