---SAE UIC MOTORSPORTS---
---Version #: 1.7---
Message ID: 0x0005AE02

Time Stamp (Second(s)), MAP (kPA), VE (%), Oil Pressure (PSIg)
0,94,77,0
0.0096,90.8,77,0
0.0196,93.5,77,0
0.0296,92.1,78,0
0.0396,92.3,79,0
0.0673,93.6,78,0
0.0695,92,79,0
0.0795,94.5,81,0
0.0895,94.1,78,0
0.0995,94.5,80,0
0.1095,96.4,98,0
0.1195,99,95,0
0.1306,92.5,88,0
0.1396,78,83,0
0.1496,68.6,79,0
0.1596,67.9,80,0
0.1696,88.2,111,0
0.1896,66.1,79,0
0.1996,66.1,78,0
0.2096,64.2,79,0
0.2196,65.7,81,0
0.2296,73.3,81,0
0.2395,79.8,73,0
0.2494,87.1,74,0
0.2604,90.6,78,0
0.2695,95.7,82,0
0.2795,99.3,84,0
0.2895,96.7,83,0
0.2995,94.5,78,0
0.3104,91.1,76,0
0.3195,90.8,76,0
0.3296,90.6,78,0
0.3396,88,75,0
0.3496,85.8,74,0
0.3696,83.2,76,0
0.3796,83.2,79,0
0.3896,82.7,75,0
0.3996,84.7,76,0
0.4096,84.1,73,0
0.4195,84.5,74,0
0.4295,86.5,77,0
0.4482,86,75,0
0.4495,85.7,75,0
0.4595,87.3,76,0
0.4695,88.9,76,0
0.4795,86.8,77,0
0.4904,84.6,73,0
0.4995,87.6,74,0
0.5095,85.7,74,0
0.5196,85.9,75,0
0.5296,87.3,77,0
0.5403,84.6,73,0
0.5495,84.4,74,0
0.5595,89.5,86,0
0.5695,98.7,102,0
0.5795,86.9,83,0
0.5903,66.2,76,0
0.5995,76.5,111,0
0.6095,96.3,112,0
0.6195,75.4,81,0
0.6295,60.1,75,0
0.6404,58,73,0
0.6495,64.1,76,0
0.6595,67,79,0
0.6695,77.1,78,0
0.6874,86.8,73,0
0.6996,92.2,77,0
0.7096,92.5,78,0
0.7196,94.5,80,0
0.7296,95.4,79,0
0.7396,94.7,79,0
0.7496,94.2,78,0
0.7596,91.7,75,0
0.7704,91.6,77,0
0.7796,91.6,77,0
0.7895,88.1,75,0
0.7994,86.6,77,0
0.8095,82.4,81,0
0.8203,84,79,0
0.8295,83,78,0
0.8395,85.4,74,0
0.8495,88,75,0
0.8595,85.8,75,0
0.8703,85.8,75,0
0.8795,85.4,75,0
0.8896,84.8,74,0
0.8996,84.2,77,0
0.9094,83.4,78,0
0.9296,84.5,76,0
0.9474,85.4,73,0
0.9496,86.4,76,0
0.9596,90.3,74,0
0.9695,98.2,95,0
0.9795,99.9,86,0
0.9895,97.4,76,0
1.0081,85.3,82,0
1.0095,83,82,0
1.0274,63.7,74,0
1.0295,65.1,76,0
1.0395,66.8,81,0
1.0503,75.3,80,0
1.0595,80.9,73,0
1.0696,88.8,75,0
1.0796,93.4,79,0
1.0894,96.5,84,0
1.1004,100.6,86,0
1.1094,101.9,91,0
1.1273,101.8,101,0
1.1296,100.2,85,0
1.1396,100.3,77,0
1.1507,91.1,77,0
1.1595,87,104,0
1.1695,89.5,87,0
1.1795,81.3,86,0
1.1895,79.5,80,0
1.2083,79.5,80,0
1.2095,79.2,80,0
1.2274,77.3,80,0
1.2295,77.4,82,0
1.2394,79.3,80,0
1.2505,76,81,0
1.2674,76.2,82,0
1.2696,79.7,81,0
1.2874,77.9,82,0
1.2896,79.9,79,0
1.3005,80.3,79,0
1.3096,80.7,80,0
1.3273,82.7,85,0
1.3296,78.1,81,0
1.3473,80.7,84,0
1.3505,78.5,86,0
1.3672,83.8,84,0
1.3694,84.8,86,0
1.3794,90.3,87,0
1.3895,97.3,116,0
1.4003,90.1,84,0
1.4095,81.9,81,0
1.4273,80.8,88,0
1.4295,80.5,88,0
1.4473,102.8,115,0
1.4503,100.7,77,0
1.4595,99,84,0
1.4695,98,75,0
1.4795,101.2,86,0
1.4894,95.7,77,0
1.5003,96.2,76,0
1.5095,96.4,74,0
1.5195,94,78,0
1.5295,91.5,84,0
1.5395,91.8,75,0
1.5503,90.4,80,0
1.5594,86.4,90,0
1.5695,87.9,75,0
1.5795,89.8,84,0
1.5895,86.2,76,0
1.6004,83.8,72,0
1.6095,87.3,74,0
1.6195,95.6,78,0
1.6295,89,74,0
1.6396,76.7,86,0
1.6505,72.3,80,0
1.6674,80,77,0
1.6696,79.6,77,0
1.6796,77.7,85,0
1.6896,80.4,83,0
1.7004,82.4,75,0
1.7096,87.9,99,0
1.7196,85.3,87,0
1.7295,85,89,0
1.7395,90.8,84,0
1.7503,91,89,0
1.7595,84.8,81,0
1.7695,77.8,83,0
1.7873,79.8,81,0
1.7895,78.6,80,0
1.8003,80.4,83,0
1.8095,80.6,82,0
1.8195,80.6,81,0
1.8295,80.7,81,0
1.8396,79.2,82,0
1.8504,78.7,83,0
1.8596,79.4,81,0
1.8696,78.3,80,0
1.8874,78.1,81,0
1.8896,78.8,80,0
1.9096,80.7,80,0
1.9196,78.4,80,0
1.9295,79.1,82,0
1.9395,81.3,80,0
1.9495,77.3,79,0
1.9674,78.9,82,0
1.9695,79.3,80,0
1.9803,79.8,80,0
1.9895,78.8,80,0
1.9995,79.3,83,0
2.0095,81.7,80,0
2.0273,80.3,80,0
2.0304,82.8,82,0
2.0396,81.2,83,0
2.0496,78.4,83,0
2.0596,79,79,0
2.0696,80.1,80,0
2.0804,78.9,80,0
2.0895,79.6,80,0
2.0995,80,81,0
2.1095,78.7,81,0
2.1195,80.8,80,0
2.1474,81.3,83,0
2.1495,79.1,79,0
2.1595,81.8,80,0
2.1695,77.8,81,0
2.1795,79,80,0
2.1895,78.3,80,0
2.2075,78.6,79,0
2.2104,80.5,81,0
2.2195,79.5,81,0
2.2295,78.1,79,0
2.2395,80.4,79,0
2.2494,79.8,84,0
2.2604,79.8,80,0
2.2695,81.8,81,0
2.2873,80.4,80,0
2.2895,82.1,80,0
2.2995,81,81,0
2.3103,83.1,80,0
2.3195,80.6,82,0
2.3295,79.9,81,0
2.3395,78.4,81,0
2.3495,79.4,84,0
2.3603,81.8,80,0
2.3695,79,82,0
2.3795,79.7,80,0
2.3895,81.4,80,0
2.4074,80.6,80,0
2.4104,81.4,81,0
2.4195,79.3,80,0
2.4295,79.7,80,0
2.4395,79.3,83,0
2.4495,80.6,81,0
2.4604,81.2,80,0
2.4695,80.7,82,0
2.4795,78.5,80,0
2.4895,80,85,0
2.5073,82.7,80,0
2.5105,81.9,81,0
2.5194,80,80,0
2.5295,83.5,84,0
2.5473,83.8,80,0
2.5495,86.4,81,0
2.5604,87.7,82,0
2.5695,84.4,80,0
2.5795,87.5,81,0
2.5895,84.1,80,0
2.6072,78.9,80,0
2.6105,79.8,80,0
2.6196,79,81,0
2.6296,78.9,82,0
2.6396,75.5,79,0
2.6496,72.5,77,0
2.6604,70.9,77,0
2.6696,73.5,80,0
2.6796,71.5,78,0
2.6896,74.4,81,0
2.6995,71.3,80,0
2.7102,73,78,0
2.7195,73.2,82,0
2.7295,78,86,0
2.7395,74.1,80,0
2.7495,74.6,84,0
2.7605,77.9,80,0
2.7695,75.2,80,0
2.7795,75.3,82,0
2.7895,75.3,79,0
2.7995,74.6,80,0
2.8196,78.7,82,0
2.8296,77.1,80,0
2.8396,76.8,81,0
2.8496,77.6,80,0
2.8594,77.2,79,0
2.8696,78.5,80,0
2.8796,76,79,0
2.8895,76.1,81,0
2.9073,76.5,79,0
2.9095,78.8,79,0
2.9274,76.9,79,0
2.9295,75.8,79,0
2.9403,76.7,82,0
2.9495,78.3,80,0
2.9595,79.6,80,0
2.9695,78.9,80,0
2.9795,78.9,83,0
2.9903,80.8,79,0
2.9996,82.3,79,0
3.0096,81.8,79,0
3.0196,81.9,80,0
3.0296,81.9,80,0
3.0496,80.4,79,0
3.0595,78.8,79,0
3.0695,79.3,79,0
3.0874,82.4,79,0
3.0895,79.9,79,0
3.0995,78.1,79,0
3.1094,78.5,79,0
3.1204,77.5,83,0
3.1295,79.6,79,0
3.1395,79.5,78,0
3.1495,78,79,0
3.1595,80.7,79,0
3.1704,79.3,81,0
3.1795,79.4,79,0
3.1895,77.3,81,0
3.1995,78.5,80,0
3.2095,78.2,79,0
3.2203,80.3,80,0
3.2295,77.2,79,0
3.2395,79.5,79,0
3.2495,79.3,81,0
3.2595,78.3,81,0
3.2703,78.4,80,0
3.2795,83,82,0
3.2895,81.2,79,0
3.2995,85.7,82,0
3.3095,82.2,80,0
3.3203,81.7,82,0
3.3295,80.7,80,0
3.3395,81.1,85,0
3.3495,80.4,80,0
3.3595,80.6,79,0
3.3703,80.8,80,0
3.3795,82.5,84,0
3.3895,81.2,80,0
3.3995,80.6,80,0
3.4095,82.7,80,0
3.4295,81.4,80,0
3.4395,82.9,80,0
3.4494,81.9,80,0
3.4595,81.9,79,0
3.4695,79.7,80,0
3.4795,81.9,84,0
3.4895,81,80,0
3.5004,80.1,85,0
3.5095,77.5,79,0
3.5272,78,82,0
3.5295,80.7,78,0
3.5472,80.9,76,0
3.5504,76.8,75,0
3.5595,78.9,75,0
3.5696,73.4,74,0
3.5796,73.4,73,0
3.5896,72.6,73,0
3.6004,70.9,73,0
3.6096,69.7,73,0
3.6196,71.5,73,0
3.6296,72.9,73,0
3.6394,69.2,74,0
3.6504,71.9,75,0
3.6595,66.1,70,0
3.6695,63.7,69,0
3.6795,61.3,68,0
3.6895,54.9,68,0
3.7003,56.2,68,0
3.7095,54.4,67,0
3.7195,52.4,66,0
3.7295,50.3,65,0
3.7395,51,69,0
3.7503,54,68,0
3.7595,52.9,69,0
3.7696,53.9,70,0
3.7796,55.9,71,0
3.7896,59.1,73,0
3.8004,62.7,77,0
3.8096,63.8,77,0
3.8196,63.7,78,0
3.8296,60.4,73,0
3.8396,67.9,75,0
3.8504,72.2,77,0
3.8595,73.4,77,0
3.8695,67.2,75,0
